StudyID,Title,Species,Institute,Analysis,ReleaseDate,Version,Samples,Download
ST000393,Long-Chain Fatty Acid Combustion Rate Is Associated with Unique Metabolite Profiles in Skeletal Muscle Mitochondria,Mus musculus,"University of California, Davis",MS,18/06/2016,1,68,Uploaded data (236M)*
ST000394,The circadian oscillator in Synechococcus elongatus controls metabolite partitioning during diurnal growth (part I),Synechococcus elongatus PCC7942 cells,"University of California, Davis",MS,18/06/2016,1,8,Uploaded data (756M)*
ST000395,The circadian oscillator in Synechococcus elongatus controls metabolite partitioning during diurnal growth (part II),Synechococcus elongatus PCC7942 cells,"University of California, Davis",MS,18/06/2016,1,12,Uploaded data (868M)*
ST000396,Lung Cancer Plasma Discovery,Homo sapiens,"University of California, Davis",MS,18/06/2016,2,299,Uploaded data (3.0G)*
ST000397,Long-term neural and physiological phenotyping of a single human,Homo sapiens,"University of California, Davis",MS,18/06/2016,2,48,Uploaded data (315M)*
ST000398,Metabolic profiling of maternal urine can aid clinical management of Gestational Diabetes Mellitus (GDM),Homo sapiens,University of Aveiro,NMR,18/06/2016,1,90,Uploaded data (28K)
ST000399,E.coli effects on growth and substrate uptake of green algae (part I - HILIC),Escherichia coli,"University of California, Davis",MS,18/06/2016,1,18,Uploaded data (1.1G)*
ST000400,E.coli effects on growth and substrate uptake of green algae (part II - Reverse Phase),Escherichia coli,"University of California, Davis",MS,18/06/2016,1,36,Uploaded data (4.1G)*
ST000401,Inhibition of diamine oxidase promotes uptake of putrescine from rat small intestine,Rattus norvegicus,"University of California, Davis",MS,18/06/2016,1,40,Uploaded data (311M)*
ST000402,Impact of glucose on the central metabolome of C. minutissima,Chlorella minutissima 2341,"University of California, Davis",MS,18/06/2016,1,71,Uploaded data (485M)*
ST000403,Metabolomics-based elucidation of active metabolic pathways in erythrocytes and HSC-derived reticulocytes,Homo sapiens,"Monash Institute of Pharmaceutical Sciences, Monash University",MS,20/05/2016,1,36,Uploaded data (2.1G)*
ST000404,Role of HVCN1 in B cell malignancies,Homo sapiens,"University of California, Davis",MS,18/06/2016,1,12,Uploaded data (87M)*
ST000405,Metabolomic Profiling in Early Pregnancy using Pre-Diagnostic Sera from Women Who Developed Placental Abruption,Homo sapiens,RTI International,MS,27/05/2017,1,111,Uploaded data (12M)*
ST000406,Noninvasive Recognition and Biomarkers of Early Allergic Asthma in Cats using Multivariate Statistics of NMR Spectra of Exhaled Breath Condensate,Felis catus,University of Missouri-Columbia,NMR,18/06/2016,1,106,Uploaded data (6.1M)
ST000407 (Available on 2018-08-02),Arsenic and the fecal metabolome,Homo sapiens,RTI International,NMR,-,-,310,Not available
ST000408 (Available on 2018-06-01),Metabolomic analysis of oxytocin effects on social deficits in mice (part I),Mus musculus,University of North Carolina,NMR,-,-,104,Not available
ST000409 (Available on 2018-06-01),Metabolomic analysis of oxytocin effects on social deficits in mice (part II),Mus musculus,University of North Carolina,NMR,-,-,85,Not available
ST000410,Metabolomic analysis of oxytocin effects on social deficits in mice (part III),Mus musculus,University of North Carolina,NMR,10/07/2017,1,103,Uploaded data (101M)*
ST000411 (Available on 2018-06-01),Smoking and urinary metabolomics,Homo sapiens,University of North Carolina,NMR,-,-,25,Not available
ST000412,Metabolic profiling during ex vivo machine perfusion of the human liver (part I),Homo sapiens,"University of California, Davis",MS,23/09/2016,1,96,Uploaded data (630M)*
ST000413,Metabolic profiling during ex vivo machine perfusion of the human liver (part III),Homo sapiens,"University of California, Davis",MS,23/09/2016,1,48,Uploaded data (5.7G)*
ST000414,Metabolomics-based screening of the Malaria Box reveals both novel and established mechanisms of action,Plasmodium falciparum,"Monash Institute of Pharmaceutical Sciences, Monash University",MS,10/07/2017,1,984,Uploaded data (47G)*
ST000415 (Available on 2018-06-16),Toxicokinetics and Metabolomic Disrupting of the Flame Retardant Mixture Firemaster 550,Rattus norvegicus,University of North Carolina,MS,-,-,28,Not available
ST000416 (Available on 2018-06-16),Armpit Biodiversity Metabolites and Odors,Homo sapiens,University of North Carolina,MS,-,-,92,Not available
ST000417 (Available on 2018-06-01),Controlled Human Exposure to Particulate Matter (PM) and Gaseous Co-Pollutants,Homo sapiens,RTI International,MS,-,-,81,Not available
ST000418 (Available on 2018-06-01),The role of CFTR in the regulation of intrinsic defense mechanisms of exocrine secretions,Homo sapiens,University of North Carolina,MS,-,-,22,Not available
ST000419,Impact Of High Sugar Diet On L-Arginine Metabolism In The Lung (part I),Mus musculus,"University of California, Davis",MS,23/09/2016,1,80,Uploaded data (551M)*
ST000420 (Available on 2018-06-01),NIST SRM Smoker non-Smoker Urine Comparison,Homo sapiens,RTI International,MS,-,-,20,Not available
ST000421,Type 1 Diabetes poor glycemic control versus control samples,Homo sapiens,Mayo Clinic,MS,23/09/2016,1,888,Uploaded data (34G)*
ST000422,Type 1 Diabetes good glycemic control and controls samples,Homo sapiens,Mayo Clinic,MS,23/09/2016,1,720,Uploaded data (34G)*
ST000423,Differences in mycoplasma growth due to different mediums,mycoplasma genomic variants,"University of California, Davis",MS,23/09/2016,1,24,Not available
ST000424,Metabolomics Approach to Allograft Assessment in Liver Transplantation (part II),Homo sapiens,University of Florida,MS,03/10/2017,1,50,Uploaded data (14G)*
ST000425,Non targeted metabolomics of gastrocnemius tissue samples obtained from 20 month old (old) mice- Both Sham and after inducing lung injury (part I),Mus musculus,"University of North Carolina, Duke University",MS,23/09/2016,1,20,Not available
ST000426,Non targeted metabolomics of gastrocnemius tissue samples obtained from 6 month old (adult) mice- Both Sham and after inducing lung injury (part II),Mus musculus,"University of North Carolina, Duke University",MS,23/09/2016,1,20,Not available
ST000427,targeted metabolomics of gastrocnemius tissue samples obtained from 6 month old (adult) mice- Both Sham and after inducing lung injury (part I),Mus musculus,"University of North Carolina, Duke University",MS,23/09/2016,1,20,Not available
ST000428,Targeted metabolomics of gastrocnemius tissue samples obtained from 20 month old (old) mice- Both Sham and after inducing lung injury (part II),Mus musculus,"University of North Carolina, Duke University",MS,23/09/2016,1,20,Not available
ST000429,Targeted metabolomics of MuRF1 overexpressing cardiomyocytes compared to their wildtype controls (part I),Mus musculus,University of North Carolina,MS,23/09/2016,1,6,Not available
ST000430,Targeted metabolomics of MuRF1 Knockdown cardiomyocytes compared to their wildtype controls (part II),Mus musculus,University of North Carolina,MS,23/09/2016,1,8,Not available
ST000431,C2C12 stretch cessation models muscle atrophy and anaplerotic changes in metabolism,Mus musculus,University of North Carolina,MS,23/09/2016,1,22,Not available
ST000432,"Quantitative measurements of vitamin D in T1D poor control, good control, and controls.",Homo sapiens,Mayo Clinic,MS,23/09/2016,1,54,Uploaded data (2.2M)
ST000433,Plasma sphingolipid changes with autopsy-confirmed Lewy body or Alzheimer's pathology,Homo sapiens,Mayo Clinic,MS,23/09/2016,1,69,Uploaded data (300K)
ST000434,"Quantitative measurements of free fatty acid in T1D poor control, good control, and controls.",Homo sapiens,Mayo Clinic,MS,23/09/2016,1,58,Uploaded data (2.2M)
ST000435,"Quantitative measurements of amino acids in T1D poor control, good control, and controls.",Homo sapiens,Mayo Clinic,MS,23/09/2016,1,49,Uploaded data (2.2M)
ST000436,Metabolomic analysis of EE urine samples,Homo sapiens,University of Minnesota,MS,03/10/2017,1,60,Uploaded data (6.9G)*
ST000437,Metabolomic analysis of human plasma samples spiked with unknown chemicals,Homo sapiens,University of Minnesota,MS,03/10/2017,1,110,Not available
ST000438,Characterizing commonalities and differences between the breast and prostate cancer metabotypes in African-American cohorts (part I),Homo sapiens,University of North Carolina,NMR,23/09/2016,1,48,Uploaded data (39M)*
ST000439,Characterizing commonalities and differences between the breast and prostate cancer metabotypes in African-American cohorts,Homo sapiens,University of North Carolina,NMR,23/09/2016,1,66,Uploaded data (20M)*
ST000440,Metabotypes of Subjects with Adverse Reactions Following Vaccination,Homo sapiens,University of North Carolina,NMR,23/09/2016,1,200,Uploaded data (81M)*
ST000441,Metabolomic Profiling of the Malaria Box Reveals Antimalarial Target Pathways,Plasmodium falciparum,Pennsylvania State University,MS,22/12/2016,1,189,Uploaded data (556K)
ST000442,Metabolomics Analysis of Triple Negative Breast Cancer (BCa) Cell Lines,Homo sapiens,University of North Carolina,NMR,22/12/2016,1,24,Uploaded data (9.7M)*
ST000443,"Quantitative measurements of TCA cycle metabolites in T1D poor control, good control, and controls.",Homo sapiens,Mayo Clinic,MS,23/09/2016,1,58,Uploaded data (2.2M)
ST000444,Preconcentration of organic solutes in urine by bubble bursting,Homo sapiens,"V.I. Kulakov Research Center for Obstetrics, Gynecology and Perinatology",MS,23/09/2016,1,4,Uploaded data (408M)*
ST000445,Follicular fluid lipidomics reveals lipid alterations by LH addition during IVF cycles,Homo sapiens,Universidade Federal de Sao Paulo,MS,23/09/2016,1,28,Uploaded data (11G)*
ST000446,Heterologous expression and detection of Apratoxins in E. coli,Escherichia coli,University of Florida,MS,03/10/2017,1,24,Uploaded data (1.8M)
ST000447 (Available on 2018-12-31),CHEAR Ring Trial Analyze 50 human plasma samples and 5 standards mixtures,Homo sapiens,Mount Sinai,MS,-,-,110,Not available
ST000448,Emory University high-resolution metabolomic profiling of ring trial samples,Homo sapiens,Emory University School of Medicine,MS,03/10/2017,1,122,Not available
ST000449,"Molecular Imaging of Growth, Metabolism, and Antibiotic Inhibition in Bacterial Colonies by Laser Ablation Electrospray Ionization Mass Spectrometry",Bacillus subtilis,The George Washington University,MS,23/09/2016,1,8,Uploaded data (8.1G)*
ST000450,Metabolic features of chronic fatigue syndrome,Homo sapiens,"University of California, San Diego",MS,22/12/2016,1,168,Uploaded data (660K)
ST000451,The alpha-1A adrenergic receptor agonist A61603 reduces cardiac polyunsaturated fatty acid-Heart raw data,Mus musculus,University of North Carolina,MS,23/09/2016,1,16,Not available
ST000452,The alpha-1A adrenergic receptor agonist A61603 reduces cardiac polyunsaturated fatty acid-Serum raw data,Mus musculus,University of North Carolina,MS,23/09/2016,1,16,Not available
ST000453,Metabolic Adaptation of Staphylococcus aureus to Host Immunity,Staphylococcus aureus,University of North Carolina,MS,03/10/2017,1,184,Uploaded data (132G)*
ST000454 (Availability TBA),Utilizing Metabolomics to Understand Novel Anti-Desmoid Tumor Drugs (part I),Homo sapiens,RTI International,NMR,-,-,69,Not available
ST000455,Utilizing Metabolomics to Understand Novel Anti-Desmoid Tumor Drugs (part II),Homo sapiens,RTI International,NMR,06/12/2017,1,51,Uploaded data (28M)*
ST000456,Metabolomic changes during active immunization with anti-METH vaccines.,Rattus norvegicus,University of North Carolina,MS,03/10/2017,1,204,Uploaded data (6.6M)*
ST000457 (Availability TBA),Metabolomics of Mice Cohousing and Microbiota Transfer,Mus musculus,University of North Carolina,MS,-,-,84,Not available
ST000458 (Availability TBA),Effect of BCAT1 knockdown on amino acid steady state levels of Raji cells,Homo sapiens,University of Florida,MS,-,-,21,Not available
ST000459 (Availability TBA),Effect of Odc knockout on amino acid steady state levels of E_-Myc lymphomas,Mus musculus,University of Florida,MS,-,-,12,Not available
ST000460 (Availability TBA),Effect of ATG7 reconstitution in AGY571 cells,Mus musculus,University of Florida,MS,-,-,15,Not available
ST000461 (Availability TBA),Effect of Odc knockout on amino acid homeostasis of Eu-Myc Lymphomas,Mus musculus,University of Florida,MS,-,-,12,Not available
ST000462,CNS and peripheral metabolomics of calorie restriction in a mouse model of Alzheimerês disease (part I),Mus musculus,University of North Carolina,NMR,03/10/2017,1,78,Uploaded data (40M)*
ST000463,CNS and peripheral metabolomics of calorie restriction in a mouse model of Alzheimerês disease (part II),Mus musculus,University of North Carolina,NMR,03/10/2017,1,77,Uploaded data (132M)*
ST000464 (Available on 2018-09-10),Transpulmonary metabolomics in pulmonary arterial hypertension,Homo sapiens,University of North Carolina,NMR,-,-,159,Not available
ST000465,Uniquely Tumor-Selective Englerin A Profoundly Alters Lipid Metabolism in Renal Cell Carcinoma inducing ER-Stress and an Acute Inflammatory Response,Homo sapiens,"University of California, San Diego",MS,22/12/2016,1,32,Uploaded data (180K)
ST000466,"Streptococcus mutans organic acids/amino acid profiles, effect of oxidative stress; pilot",Streptococcus mutans,University of Florida,MS,03/10/2017,1,12,Uploaded data (53M)*
ST000467,Metabolomics of Saliva Samples Obtained from Subjects with Diabetes,Homo sapiens,University of North Carolina,MS,03/10/2017,1,50,Not available
ST000468,Enterococcus faecalis nucleotide profiles following mupirocin or decoyinine,Enterococcus faecalis,University of Florida,MS,03/10/2017,1,9,Uploaded data (1016K)
ST000469,Enterococcus faecalis nucleotide profiles - pilot,Enterococcus faecalis,University of Florida,MS,03/10/2017,1,10,Uploaded data (38M)*
ST000470 (Available on 2018-02-28),Exahustive degradation of nucleotide triphosphates,None,University of Groningen,MS,-,-,180,Not available
ST000471 (Available on 2018-02-28),Effect of a complex matrix on the degradation of nucleotide triphosphates,None,University of Groningen,MS,-,-,192,Not available
ST000472 (Available on 2018-02-28),Effect of the culture medium on the degradation of nucleotide triphosphates,None,University of Groningen,MS,-,-,32,Not available
ST000473 (Available on 2018-02-28),Effect of the chemical environment on the degradation of nucleotide triphosphates,None,University of Groningen,MS,-,-,256,Not available
ST000474,Metabolomic testing of a putative MDH inhibitor (targeted),Homo sapiens,University of Florida,MS,03/10/2017,1,10,Uploaded data (944K)
ST000475,Metabolomic testing of a putative MDH inhibitor (global),Homo sapiens,University of Florida,MS,03/10/2017,1,20,Uploaded data (1.1M)
ST000476,Metabolomic analysis of oxytocin effects on social deficits in mice (part IV),Mus musculus,University of North Carolina,MS,03/10/2017,1,22,Uploaded data (1.2G)*
ST000477,A metabolomics approach to document compliance with long-term almond consumption,Homo sapiens,Purdue University,MS,22/12/2016,1,226,Uploaded data (288K)
ST000478,NMR based Metabolomics Analysis of Liver from C57BL/6 Mouse Exposed to Ionizing Radiation,Mus musculus,Pacific Northwest National Laboratory,NMR,10/07/2017,1,27,Uploaded data (4.3M)*
ST000479,NMR based quantitative metabolomics studies of heart and lung from mouse exposed to whole body high dose gamma and proton radiation (part I),Mus musculus,Pacific Northwest National Laboratory,NMR,03/10/2017,1,27,Uploaded data (5.5M)*
ST000480,NMR based quantitative metabolomics studies of heart and lung from mouse exposed to whole body high dose gamma and proton radiation (part II),Mus musculus,Pacific Northwest National Laboratory,NMR,20/11/2017,1,27,Uploaded data (5.5M)*
ST000481 (Availability TBA),Metabolomics of Mice Cohousing and Microbiota Transfer (part II),Mus musculus,University of North Carolina,MS,-,-,17,Not available
ST000482,Free amino acids in CHEAR reference plasma,Homo sapiens,University of Minnesota,MS,20/11/2017,1,1,Uploaded data (3.3G)*
ST000483,Amino Acid Quantifcation of obese patients on a 16 week caloric restriction from Plasma,Homo sapiens,Mayo Clinic,MS,22/12/2016,1,40,Uploaded data (1.3M)
ST000484,Amino Acid Quantifcation of obese patients on a 16 week caloric restriction from muscle biopsy,Homo sapiens,Mayo Clinic,MS,20/11/2017,1,40,Uploaded data (1.3M)
ST000485,D2 Glucose Quantifcation of obese patients on a 16 week caloric restriction from plasma,Homo sapiens,Mayo Clinic,MS,20/11/2017,1,560,Uploaded data (1.3M)
ST000486,Pollen metabolomics,Various,NIEHS,NMR,03/10/2017,1,130,Uploaded data (30M)*
ST000487,"Impacts of high-fat diet (HFD), high-carbohydrate diet (HCD) and high-fat-high-carbohydrate diet (HFHCD) on metabolites in a farmed cyprinid fish Megalobrama amblycephala.",Megalobrama amblycephala,Huazhong Agricultural University,NMR,03/10/2017,1,40,Uploaded data (2.4M)
ST000488 (Available on 2018-10-14),"Sleep apnea and cardiovascular metabiltes carnitine, tma, tmao, betain, choline in plasma",Homo sapiens,Mayo Clinic,MS,-,-,36,Not available
ST000489 (Available on 2018-10-14),Sleep apnea and cardiovascular samples plasma acyl carnitine panel,Homo sapiens,Mayo Clinic,MS,-,-,36,Not available
ST000490 (Available on 2018-10-14),Sleep apnea and cardiovascular samples nueromodulators panel,Homo sapiens,Mayo Clinic,MS,-,-,36,Not available
ST000491 (Available on 2018-10-14),Sleep apnea and cardiovascular samples amino acid metabolites,Homo sapiens,Mayo Clinic,MS,-,-,36,Not available
ST000492 (Available on 2018-10-14),Sleep apnea and cardiovascular samples ceramide concentrations,Homo sapiens,Mayo Clinic,MS,-,-,36,Not available
ST000493 (Available on 2018-10-14),"Sleep apnea and cardiovascular samples SCFA, short chain fatty acids panel",Homo sapiens,Mayo Clinic,MS,-,-,36,Not available
ST000494 (Available on 2018-10-14),Timecourse of palmitate isotopomers in LNCaP Cells,Homo sapiens,Mayo Clinic,MS,-,-,16,Not available
ST000495,Metabolomic profiles along the gastrointestinal tract of the healthy dog,Canis familiaris,"University of California, Davis",MS,22/12/2016,1,24,Uploaded data (246M)*
ST000496,Distinct signatures of dental plaque metabolic byproducts dictated by periodontal inflammatory status,Homo sapiens,Osaka University Graduate School of Dentistry,MS,20/11/2017,1,100,Uploaded data (184K)
ST000497,M-CMV infected Nicotiana tabacum,Nicotiana tabacum,Chinese Academy of Inspection and Quarantine,MS,20/11/2017,1,144,Uploaded data (887M)*
ST000498,Cocaine administration and withdrawal (part I),Rattus norvegicus,University of Florida,MS,20/11/2017,1,12,Uploaded data (644K)
ST000499,NAD+ in neurodegeneration,Homo sapiens,University of Florida,MS,20/11/2017,1,17,Uploaded data (684K)
ST000500,Metabolomics Analysis of Kidney from C57BL/6 Mouse Exposed to Ionizing Radiation,Mus musculus,Pacific Northwest National Laboratory,NMR,20/11/2017,1,27,Uploaded data (6.5M)
ST000501,NMR based Metabolomics Analysis of Mouse Exposed to Gamma Radiation,Mus musculus,Pacific Northwest National Laboratory,NMR,20/11/2017,1,13,Uploaded data (3.1M)*
ST000502,Weight loss and weight maintenance obtained with or without GLP-1 analogue treatment decrease branched chain amino acid levels.,Homo sapiens,NNF Center for Metabolic Research,NMR,22/12/2016,1,193,Uploaded data (36K)
ST000503,"Understanding the response to endurance exercise using a systems biology approach: combining blood metabolomics, transcriptomics and miRNome in horses",Equus caballus,INRA,NMR,10/07/2017,1,59,Uploaded data (3.4M)
ST000504 (Available on 2018-11-29),Timecourse of TCA isotopomers in LNCaP Cells and Media,Homo sapiens,Mayo Clinic,MS,-,-,12,Not available
ST000505 (Available on 2018-10-14),Timecourse of Amino Acid Metabolites in LNCaP Cell pellets,Homo sapiens,Mayo Clinic,MS,-,-,14,Not available
ST000506 (Available on 2018-11-29),Timecourse of TCA panel in LNCaP Cells,Homo sapiens,Mayo Clinic,MS,-,-,14,Not available
ST000507 (Available on 2018-11-29),Timecourse of TCA isotopomers in LNCaP Cells,Homo sapiens,Mayo Clinic,MS,-,-,16,Not available
ST000508,Metabolic Profiling of Date Palm Fruits,Phoenix dactylifera,Weill Cornell Medicine in Qatar,MS,14/01/2017,1,980,Not available
ST000509,Metabolic changes to maternal rat liver tissue during and post-pregnancy (part I),Rattus norvegicus,University of Colorado Denver,MS,30/01/2017,1,112,Uploaded data (18G)*
ST000510,Assessing metabolic changes to maternal rat liver tissue during and post-pregnancy (part II),Mus musculus,University of Colorado Denver,MS,30/01/2017,1,78,Uploaded data (9.9G)*
ST000511 (Available on 2018-11-18),Determine how inhibition of autophagy/proteasome degradation or inhibition of protein synthesis in models of muscle insulin resistance affect amino acid metabolites,Mus musculus,Mayo Clinic,MS,-,-,46,Not available
ST000512 (Available on 2018-11-29),Investigating TCA concentrations in mice muscle tissue lacking insulin receptors and IGF-1 receptors,Mus musculus,Mayo Clinic,MS,-,-,37,Not available
ST000513 (Available on 2018-11-29),Inhibition of autophagy/proteasome degradation or inhibition of protein synthesis in models of muscle insulin resistance affect TCA cycle,Mus musculus,Mayo Clinic,MS,-,-,46,Not available
ST000514 (Available on 2018-11-29),Inhibition of autophagy/proteasome degradation or inhibition of protein synthesis in models of muscle insulin resistance affect amino acids metabolites in serum,Mus musculus,Mayo Clinic,MS,-,-,36,Not available
ST000515,Metabolomics of longitudinal plasma samples from Macaca mulatta infected with Plasmodium cynomolgi B strain.,Macaca mulatta,Emory University,MS,10/07/2017,1,572,Uploaded data (612G)*
ST000516 (Available on 2018-12-07),Measuring amino acid metabolites in insulin resistant and insulin deficient mouse tissue models,Mus musculus,Mayo Clinic,MS,-,-,36,Not available
ST000517 (Available on 2018-12-07),Measuring acylcarnitine concentrations in insulin resistant and insulin deficient mouse tissue models,Mus musculus,Mayo Clinic,MS,-,-,36,Not available
ST000518 (Available on 2018-12-07),Measuring ceramide concentrations in insulin resistant and insulin deficient mouse tissue models,Mus musculus,Mayo Clinic,MS,-,-,36,Not available
ST000519 (Available on 2018-12-07),Investigating ceremide concentrations in mice muscle tissue lacking insulin receptors and IGF-1 receptors,Mus musculus,Mayo Clinic,MS,-,-,27,Not available
ST000520 (Available on 2018-11-29),Measuring TCA cycle concentrations in insulin resistant and insulin deficient mouse tissue models,Mus musculus,Mayo Clinic,MS,-,-,39,Not available
ST000521 (Available on 2018-11-29),Measuring NEFA concentrations in insulin resistant and insulin deficient mouse tissue models,Mus musculus,Mayo Clinic,MS,-,-,39,Not available
ST000522 (Available on 2018-12-13),Plasma metabolomics profiling for fish maturation in blunt snout bream,Megalobrama amblycephala,Huazhong Agricultural University,MS,-,-,60,Not available
ST000523 (Availability TBA),Prenatal exposures and Metabolite and Lipid Profiles,Homo sapiens,University of Michigan,MS,-,-,696,Not available
ST000524 (Available on 2018-12-14),Effects of Curcumin Supplementation on the Amino Acid Concentration of Older Adults: Relation to Vascular Function (part 1),Homo sapiens,Mayo Clinic,MS,-,-,74,Not available
ST000525 (Available on 2018-12-14),Effects of Curcumin Supplementation on the Non_Esterified Fatty Acids concentration of Older Adults: Relation to Vascular Function (part 2),Homo sapiens,Mayo Clinic,MS,-,-,74,Not available
ST000526 (Available on 2018-12-14),Effects of Curcumin Supplementation on the Ceramides Concentration of Older Adults: Relation to Vascular Function (part 3),Homo sapiens,Mayo Clinic,MS,-,-,74,Not available
ST000527 (Available on 2018-12-14),Effects of Curcumin Supplementation on the Acylcarnitine Concentration of Older Adults: Relation to Vascular Function (part 4),Homo sapiens,Mayo Clinic,MS,-,-,74,Not available
ST000528 (Availability TBA),Regulation of Metabolism by LSR,Homo sapiens,University of North Carolina,MS,-,-,26,Not available
ST000529 (Availability TBA),Regulation of Metabolism by LSR (part II),Homo sapiens,University of North Carolina,MS,-,-,18,Not available
ST000530 (Availability TBA),Effects of herb DG and KK01 on Type 2 Diabetes Mellitus (T2DM) through Lipidomics,Mus musculus,University of North Carolina,MS,-,-,186,Not available
ST000531 (Available on 9999-01-01),CHEAR Pooled Plasma Reference Material Proficiency Test,Homo sapiens,RTI International,MS,-,-,6,Not available
ST000532 (Available on 9999-01-01),CHEAR Plasma Reference Material Plasma GC-MS,Homo sapiens,RTI International,MS,-,-,7,Not available
ST000533 (Available on 9999-01-01),CHEAR Plasma Dilution Reference Material Proficiency Test NMR (Part I),Homo sapiens,RTI International,NMR,-,-,6,Not available
ST000534 (Available on 9999-01-01),CHEAR Plasma Extraction Reference Material Proficiency Test NMR (Part I),Homo sapiens,RTI International,NMR,-,-,6,Not available
ST000535 (Available on 9999-01-01),CHEAR Urine Reference Material Proficiency Test NMR (Part I),Homo sapiens,RTI International,NMR,-,-,6,Not available
ST000536 (Available on 9999-01-01),CHEAR Plasma Dilution Reference Material Proficiency Test NMR (Part II),Homo sapiens,RTI International,NMR,-,-,6,Not available
ST000537 (Available on 9999-01-01),CHEAR Plasma Extraction Reference Material Proficiency Test NMR (Part II),Homo sapiens,RTI International,NMR,-,-,6,Not available
ST000538 (Available on 9999-01-01),CHEAR Urine Reference Material Proficiency Test NMR (Part II),Homo sapiens,RTI International,NMR,-,-,6,Not available
ST000539,Metabolomics-based elucidation of active metabolic pathways in erythrocytes and HSC-derived reticulocytes (part II),Homo sapiens,"Monash Institute of Pharmaceutical Sciences, Monash University",MS,10/07/2017,1,36,Uploaded data (1.6G)*
ST000540 (Availability TBA),Kidney tissue metabolomic profiling of diabetic nephropathy in the steptozotocin induced type-1 diabetes mouse model.,Mus musculus,RTI International,MS,-,-,64,Not available
ST000541 (Available on 2018-02-28),Canine Diabetes - Preliminary Evaluation of Testing Methods,Canis lupus familiaris,University of Florida,MS,-,-,48,Not available
ST000542,Triple Quadrupole Mass Spectrometer to measure low abundance isotope enrichment in individual muscle proteins,Homo sapiens,Mayo Clinic,MS,10/07/2017,1,44,Not available
ST000543,High Resolution orbittrap Mass Spectrometer to measure low abundance isotope enrichment in individual muscle proteins,Homo sapiens,Mayo Clinic,MS,10/07/2017,1,44,Not available
ST000544 (Available on 9999-01-01),CHEAR Urine Reference Material Proficiency Test Biocrates,Homo sapiens,RTI International,MS,-,-,57,Not available
ST000545 (Available on 9999-01-01),CHEAR Plasma Reference Material Proficiency Test Biocrates,Homo sapiens,RTI International,MS,-,-,57,Not available
ST000546,Multi-omics based identification of specific biochemical changes associated with PfKelch13-mutant artemisinin resistant Plasmodium,Plasmodium falciparum,"Monash Institute of Pharmaceutical Sciences, Monash University",MS,10/07/2017,1,26,Uploaded data (1.1G)*
ST000547 (Availability TBA),Intergenerational murine gut microbiome variation,Mus musculus,South Australian Health and Medical Research Institute,MS,-,-,164,Not available
ST000548,Replication study: The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Homo sapiens,"University of California, Davis",MS,10/07/2017,1,86,Uploaded data (1.6G)*
ST000549 (Available on 2019-02-03),Investigating large scale metabolomics in mice serum lacking insulin receptors and IGF-1 receptors,Mus musculus,Mayo Clinic,MS,-,-,444,Not available
ST000550,Metabolomics marker of brown adipose tissue in men,Homo sapiens,Leiden University Medical Center,MS,10/07/2017,1,59,Not available
ST000551 (Available on 2019-02-03),Investigating large scale metabolomics in mice tissue lacking insulin receptors and IGF-1 receptors,Mus musculus,Mayo Clinic,MS,-,-,296,Not available
ST000552 (Available on 2018-02-03),Metabolite signatures in trauma patients with venous thromboembolism (VTE),Homo sapiens,University of Florida,MS,-,-,80,Not available
ST000553 (Available on 2019-02-14),CHEAR UT Urine and Plasma Pool Characterization,Homo sapiens,Mount Sinai,MS,-,-,48,Not available
ST000554 (Available on 2018-02-01),Metabolomics of aged iPSC,Mus musculus,University of Florida,MS,-,-,32,Not available
ST000555 (Availability TBA),Cocaine administration and withdrawal (part II),Rattus norvegicus,University of Florida,MS,-,-,24,Not available
ST000556 (Available on 2018-01-26),IROA feasibility project; plasticizers as obesogens in zebrafish,Danio rerio,University of Florida,MS,-,-,40,Not available
ST000557 (Available on 2018-02-19),Metabolites in CHEAR reference urine and plasma,Homo sapiens,University of Minnesota,MS,-,-,2,Not available
ST000558 (Available on 2018-02-17),Plasma metabolomic profiling of diabetic nephropathy in the steptozotocin induced type-1 diabetes mouse model,Mus musculus,RTI International,MS,-,-,122,Not available
ST000559 (Available on 2018-02-28),Urine metabolomic profiling of diabetic nephropathy in the steptozotocin induced type-1 diabetes mouse model.,Mus musculus,RTI International,MS,-,-,108,Not available
ST000560 (Available on 2018-02-28),Metabolomics of immunoglobulin-producing cells in IgA nephropathy,Homo sapiens,RTI International,MS,-,-,58,Not available
ST000561,"Exploring the link between genotype, phenotype and metabolome for tomato seed quality attributes",Solanum lycopersicum,Wageningen UR,MS,25/10/2017,1,200,Uploaded data (336K)
ST000562,Brown vs White adipose tissue,Mus musculus,University of Michigan,MS,10/07/2017,1,20,Uploaded data (32M)*
ST000563,Meat intake on stool metabolites,Homo sapiens,University of Michigan,MS,10/07/2017,1,13,Uploaded data (31M)*
ST000564,2014 Biotron Experiment Metabolites (part II),Zea mays,University of Florida,MS,10/07/2017,1,12,Uploaded data (839M)
ST000565 (Available on 2018-02-27),Association of hemodialysis patient plasma trace metals with response to erythropoiesis stimulating agents,Homo sapiens,RTI International,MS,-,-,112,Not available
